1;Beneoracer;30;10;-;-;15;31
1;Beoraborn;40;10;-;10;15;44
1;Beorn;40;20;-;10;15;46
1;Bork;20;-;20;-;15;22
1;Bornebeneor;30;-;20;-;15;32
1;Braega;20;-;20;-;15;22
1;Grimbeorn;40;20;-;-;15;43
1;Waulfa;30;10;-;10;-;34
2;Bain;40;-;-;-;-;40
2;Bard I;40;-;20;-;-;42
2;Girion II;30;10;20;-;-;34
2;Koldana;20;10;-;10;-;24
2;Kynoden;-;30;-;-;-;22
2;Marcatio;-;-;-;-;-;30
2;Montieff;-;-;40;-;-;20
2;Swithwulf;20;10;-;-;-;21
3;Elfhelm;40;-;-;-;-;40
3;Elfhild;-;10;-;40;-;41
3;Eomer;30;-;-;-;-;45
3;Eomund;50;-;-;-;-;50
3;Eowyn;20;-;10;-;-;21
3;Erkenbrand;40;-;10;-;-;41
3;Theoden;50;-;30;-;-;88
3;Widfara;20;10;-;-;-;21
4;Arador;40;-;20;10;-;45
4;Aragorn II;50;10;20;20;10;136
4;Elboron;30;-;10;10;-;33
4;Elladan;50;20;-;20;15;68
4;Elrohir;50;20;-;20;15;68
4;Encalion;-;-;-;50;-;50
4;Halbarad;30;-;10;20;-;36
4;Meneldir II;30;-;-;-;-;30
5;Argaldor;30;-;-;-;15;30
5;Camthalion;30;-;-;-;15;30
5;Dorlas;30;-;-;30;20;37
5;Legolas;20;-;10;-;20;21
5;Lindal;10;20;-;-;15;17
5;Ohtar;50;10;-;-;20;51
5;Ringlin;-;-;-;50;20;50
5;Thranduil;60;-;30;-;20;78
6;Anborn;10;20;-;10;-;15
6;Argirion;50;-;-;-;-;50
6;Baranor;40;-;-;-;-;40
6;Boromir;50;-;10;-;-;51
6;Denethor II;20;-;30;20;-;19
6;Ecthelion I;I 60;-;20;-;-;62
6;Faramir;30;10;-;10;-;32
6;Goromil;-;-;-;50;-;50
7;Adrahil II;60;-;10;-;-;71
7;Angbor;50;-;-;-;-;50
7;Duinhir;50;-;-;-;-;50
7;Finduilas;-;-;30;-;-;15
7;Golasgil;20;20;-;-;-;23
7;Imrahil;50;-;30;-;-;86
7;Lothiriel;-;-;30;30;-;33
7;Morwen;-;-;20;30;-;32
8;Balin;70;-;-;-;-;70
8;Dain II;40;10;20;-;-;56
8;Dis;20;-;-;10;-;22
8;Gimli;20;10;-;10;-;24
8;Gloin;40;-;-;-;-;40
8;Groin;30;-;-;-;-;30
8;Thorin Oakenshield;60;10;10;-;-;78
8;Thrain;40;-;-;-;-;40
9;Celeborn;60;10;-;20;20;66
9;Feamire;10;10;20;20;20;41
9;Galadriel;20;-;70;70;25;213
9;Galandeor;30;-;-;-;30;30
9;Helkama;20;-;-;50;25;70
9;Tathar;30;-;-;-;15;30
9;Taurnil;40;10;-;10;20;44
9;Tharudan;20;-;-;-;50;20
10;Ascarnil;40;-;-;-;25;50
10;Ciridan;40;20;40;50;25;87
10;Elrond;40;-;60;70;35;162
10;Erestor;-;-;40;60;25;90
10;Galdor;-;-;-;60;20;60
10;Gildor;30;20;20;10;25;38
10;Glorfindel;60;-;30;40;25;96
10;Pelnimloth;-;-;10;20;-;21
11;Anglach;-;-;-;50;-;50
11;Angulion;10;20;30;30;-;43
11;Ashdurgnul;-;20;-;50;-;53
11;Blogath;-;-;-;40;-;40
11;Bolg;50;-;-;-;-;95
11;Guarthoth;-;-;-;40;-;40
11;Murazor;40;-;40;70;30;138
11;Rogrog;50;-;-;-;-;65
12;Duran;60;-;20;20;30;67
12;Gashbuz;30;-;-;-;-;30
12;Grashukh;50;-;-;-;-;50
12;Khamul;30;30;30;40;30;106
12;Maben;-;-;20;50;-;82
12;Ogrod;40;-;-;-;-;52
12;Rogatha;-;-;-;30;-;30
12;Skauril;-;-;-;30;10;30
13;Bulrakur;50;-;-;-;-;50
13;Daumdorut;30;-;-;-;-;30
13;Dendra Dwar;20;-;20;60;30;67
13;Gurthlug;30;-;20;-;-;32
13;Krusnak;30;20;-;30;-;41
13;Kruxtogg;30;-;-;-;-;30
13;Rashkuk;30;-;-;-;-;30
13;Tonn Varthkur;40;-;-;30;-;47
14;Araudagul;40;-;-;-;20;40
14;Errenis;-;-;30;20;-;23
14;Gulthum;-;-;10;20;-;21
14;Ji Indur;20;40;-;40;30;72
14;Lairathim;-;30;-;-;-;22
14;Shoglic;-;-;-;30;-;30
14;Uthlug;20;30;-;-;-;27
14;Zaken;-;30;-;-;-;22
15;Akhorahil;20;-;20;60;30;80
15;Ethacali;10;-;-;40;-;42
15;Leardinoth;10;-;-;30;-;32
15;Magergoth;20;20;20;30;30;41
15;Naldurgarth;-;-;-;50;-;50
15;Storlaga;20;10;-;50;20;131
15;Uthcu?;30;-;-;-;-;30
15;Vulmek?;20;20;-;20;-;28
16;Abdahkil;-;-;-;30;-;30
16;Gaurhir;-;10;-;30;30;56
16;Gorthog;10;40;-;-;-;32
16;Hoarmurath;30;20;-;50;30;91
16;Kathog;-;-;-;40;-;50
16;Lugronk;30;-;10;-;-;31
16;Muranog;40;-;20;-;-;42
16;Ulzog;30;-;-;-;-;30
17;Adunaphel;30;-;30;40;30;66
17;Ashturg;30;10;-;-;-;31
17;Fuinur;30;-;20;20;-;37
17;Herumor;30;-;20;20;-;37
17;Malezar;10;-;10;40;-;43
17;Shebbin Vur;10;-;20;-;-;12
17;Thergor;-;30;-;-;-;22
17;Zokhad;10;20;-;-;-;17
18;Nazog;30;-;-;-;-;22
18;Ren the Unclean;20;-;20;50;30;73
18;Rozilan;-;-;20;30;-;32
18;Shagrat;30;-;-;-;-;30
18;Skargnakh;30;10;-;10;-;44
18;Snaga;30;-;-;-;-;30
18;Uklurg;40;-;-;-;-;40
18;Uthmag;-;-;-;40;-;40
19;Din Ohtar;-;30;20;10;30;50
19;Giordia;-;20;20;-;-;17
19;Hargrog;30;20;-;-;-;43
19;Lomelinde;-;30;-;10;-;48
19;Morlammen;-;-;-;30;-;30
19;Mornadak;30;-;-;-;-;30
19;Uvatha;60;20;20;-;30;78
19;Viosiol;-;-;-;30;-;30
20;Azgurath;40;-;-;-;-;40
20;Bolvag;20;-;-;50;10;73
20;Carrog;-;20;20;30;30;36
20;Celedhrin;30;30;-;50;-;138
20;Gothmog;70;30;-;-;-;95
20;Grishnak;40;-;-;-;-;40
20;Tormog;20;40;-;-;-;35
20;Urzahil;20;-;40;70;-;121
21;Allurac;30;-;-;-;-;30
21;Alukhor;10;20;-;-;-;17
21;Bragolmaite;20;-;-;10;-;37
21;Earnil II;30;-;-;30;-;37
21;Gedron;20;10;-;-;-;23
21;Sangarunya;50;-;30;-;-;53
21;Telkurhao;20;10;-;-;-;21
21;Vargaelas;40;-;-;-;-;40
22;Hesnef;30;-;10;-;-;31
22;Hurdriak;30;-;20;-;-;32
22;Huz III;40;10;30;-;-;44
22;Juganoth;30;-;-;-;-;30
22;Kav Makow I;20;20;-;-;-;22
22;Meonid Ito;-;-;-;30;-;30
22;Rof Paku;-;-;-;30;-;40
22;Usriev;30;-;-;-;-;30
23;Aonghas;40;10;-;-;-;41
23;Calmuad;-;10;30;-;-;16
23;Enion;60;-;-;-;-;60
23;Jeroibha;30;10;-;-;-;31
23;Sibroc;-;40;-;-;-;30
23;Solofhen;-;-;-;40;-;40
23;Tunghaib;-;-;-;50;-;50
24;Bill Ferny;10;20;-;-;-;12
24;Bugrug;40;-;-;-;-;40
24;Durbuhuk;20;-;-;10;-;22
24;Grima Wormtongue;-;-;30;-;-;15
24;Lugdush;-;30;-;-;-;22
24;Mauhir;30;-;-;-;-;30
24;Saruman the White;-;-;70;90;20;128
24;Ugluk;40;-;-;-;-;40
25;Avas of Igath;20;10;-;-;-;21
25;Curuband;-;-;-;30;-;30
25;Gorovod;-;10;-;40;-;41
25;Itana Ovan;30;-;-;-;-;30
25;Kionid II;20;-;20;-;-;22
25;Ovatha IV;60;-;-;-;-;60
25;Urdrath;10;-;-;30;-;32
25;Urig;20;-;20;-;-;22
