001;Ring of Wind;None;Agent;+40;;
002;Ring of Stargazing;None;Mage;+25;;Dog Lord
003;Ring of Iron Magic;Evil;Mage;+30;;Dark Lts.
004;Ring of Impersonati;None;Agent;+25;;
005;Ring of Barahir;Good;Command;+35;;Rangers
006;Ring of Axardil;None;Command;+10;;
007;Nazguaga;Evil;Mage;+35;;B.Sorcerer
008;Lorglin;None;Mage;+10;;Noldo
009;Elenya;None;Stealth;+15;;
010;Wolor Priest Ring;None;Mage;+25;;Dog Lord
011;Vilya;None;Mage;+50;;Noldo
012;Nenya;None;Mage;+50;;Sinda
013;Narya;None;Mage;+50;;
014;The One Ring;None;Stealth;+40;;
015;Tinculin;None;Mage;+40;;
016;Mothras;None;Combat;+500;;
017;Ring of Angrenost;None;Combat;+500;;White Wizard 
018;Tablets of Dark;Evil;Mage;+15;;
019;Staff of Storms;None;Open Seas;-;;
020;Staff of the Serpen;None;Mage;+10;;Ice King
021;Staff of Earthmast;None;Mage;+20;;
022;Rauzgnagli;Evil;Combat;+1750;;B.Sorcerer
023;Nedelhach;None;Combat;+750;;
024;Ghostbane;None;Combat;+750;;Dunlendings
025;Staff of Bronze;None;Mage;+25;;Ice King
026;Mallorn Staff;None;Mage;+30;;Noldo
027;Palantir of Osgilia;None;Scry Area;-;;
028;Palantir of Minas I;None;Scry Area;-;;Witch-King
029;Palantir of Minas A;None;Scry Area;-;;N.Gondor
030;Palantir of Orthanc;None;Scry Area;-;;White Wizard 
031;Palantir of Annumin;None;Scry Area;-;;
032;Palantir of Elostir;None;Scry Area;-;;Noldo
033;Palantir of Amon Su;None;Scry Area;-;;
034;Orb of Dark Se;Evil;Mage;+20;;
035;Orb of Seeing;None;Mage;+30;;Silvan
036;Bone Ring;None;Mage;+10;;Rangers
037;Voice of the Dark Tower;Evil;Emissary;+20;;Dark Lts.
038;Silver Rod of Andun;Good;Command;+25;;Rangers
039;Miramarth;Evil;Agent;+20;;
040;Gaergil;None;Open Seas;-;;Noldo
041;Mantle of Doriath;Good;Hide Pop Center;-;;Noldo
042;Collar of Might;None;Mage;+30;;
043;Cloak of the Heaven;None;Agent;+20;;Dog Lord
044;Collohwesta;None;Stealth;+25;;
045;Cloak of the Abyss;None;Stealth;+40;;Dark Lts.
046;Robe of the Orc Priest;Evil;Command;+15;;Dark Lts.
047;Belt of Durin;None;Command;+20;;
048;Thologaer Ciry;None;Mage;+30;;Witch-King
050;Ovir Crown;None;Mage;+20;;Ice King
051;Ossanna;None;Mage;+15;;Noldo
052;Morgul Plate;Evil;Command;+15;;Witch-King
053;Listening Helm;None;Agent;+10;;Long Rider
054;Helm of Sen Jay;None;Command;+15;;Fire King
055;Helm of Shadow;None;Stealth;+10;;Silvan
056;Helm of the Mumak King;None;Command;+25;;Cloud Lord
057;Helm of Isildur;None;Command;+20;;
058;Helm of the Dark;Evil;Command;+15;;Dark Lts.
059;Gaerennon;None;Command;+15;;Noldo
060;Durin's Armor/Shield;None;Command;+15;;
061;Dragon Helm of Dor-Lomin;None;Command;+15;;
062;Dragon Helm and Armor;Evil;Mage;+30;;Dragon Lord
063;Deepwood Bracelet;None;Mage;+15;;N.Gondor
064;Bracers of the Mist;None;Stealth;+30;;Silvan
065;Angbor;None;Command;+10;;Witch-King
066;Bracers of Chennacatt;None;Command;+10;;B.Sorcerer
067;Ulukai;Evil;Command;+35;;Witch-King
068;Thrakurghash;Evil;Combat;+500;;Witch-King
069;Corantir;None;Mage;+10;;
070;Ring of Binding;Evil;Agent;+30;;Long Rider
071;Talisman of Absorpt;Evil;Mage;+20;;Long Rider
072;Cloak of Duvorn;None;Agent;+20;;Long Rider
073;Yellow Hammer;None;Combat;+500;;B.Sorcerer
074;War-dancer;None;Combat;+750;;Dog Lord
075;Vasamacil;Evil;Combat;+750;;Witch-King
076;Usriev;None;Combat;+750;;Khand
077;Ungolrist;Good;Combat;+750;;
078;Sword of Soul Reducing;Evil;Combat;+500;;Quiet Avenger
079;Stormless Bow;None;Combat;+500;;Long Rider
080;Snow Hammer;None;Combat;+500;;Ice King
081;Sil-Maegil;Good;Combat;+750;;
082;Romoquenaro;None;Combat;+750;;Witch-King
083;Orcrist;None;Combat;+750;;Dwarves
084;Ongrum;None;Combat;+500;;Fire King
085;Navorn;None;Combat;+500;;S.Gondor
086;Nallagurth;Evil;Combat;+750;;Witch-King
087;Morlhach;Evil;Combat;+500;;
088;Macirille;None;Combat;+750;;
089;Macrilomen;None;Combat;+1000;;Noldo
090;Helkaluin;None;Combat;+1250;;Noldo
091;Gordur;Good;Combat;+500;;Rangers
