1,1,0.8
1,2,0.85
1,3,0.9
1,4,0.95
1,5,1
1,6,0.95
1,7,0.9
2,1,0.75
2,2,0.8
2,3,0.85
2,4,0.9
2,5,1
2,6,0.95
2,7,0.9
3,1,0.75
3,2,0.8
3,3,0.85
3,4,0.9
3,5,1
3,6,1
3,7,0.9
4,1,0.8
4,2,0.85
4,3,0.9
4,4,0.95
4,5,1
4,6,1
4,7,0.9
5,1,0.85
5,2,0.85
5,3,0.9
5,4,0.95
5,5,1
5,6,1
5,7,0.9
6,1,0.75
6,2,0.85
6,3,0.9
6,4,0.95
6,5,1
6,6,1
6,7,0.9
11,1,0.75
11,2,0.85
11,3,0.9
11,4,0.95
11,5,1
11,6,0.95
11,7,0.9
12,1,0.75
12,2,0.8
12,3,0.85
12,4,0.9
12,5,1
12,6,1
12,7,1
13,1,0.75
13,2,0.8
13,3,0.85
13,4,0.9
13,5,1
13,6,1
13,7,1
14,1,0.75
14,2,0.8
14,3,0.85
14,4,0.9
14,5,1
14,6,1
14,7,1
15,1,0.85
15,2,0.9
15,3,0.9
15,4,0.9
15,5,1
15,6,0.95
15,7,0.9
16,1,0.9
16,2,0.95
16,3,1
16,4,0.95
16,5,0.95
16,6,0.9
16,7,0.85
21,1,0.75
21,2,0.8
21,3,0.85
21,4,0.9
21,5,1
21,6,1
21,7,0.95
22,1,0.9
22,2,0.95
22,3,1
22,4,1
22,5,1
22,6,1
22,7,1
