1,1,0.8
1,2,0.85
1,3,0.9
1,4,0.95
1,5,1
1,6,0.95
1,7,0.9
2,1,0.75
2,2,0.8
2,3,0.85
2,4,0.9
2,5,1
2,6,0.95
2,7,0.9
3,1,0.75
3,2,0.8
3,3,0.85
3,4,0.9
3,5,1
3,6,1
3,7,0.9
4,1,0.8
4,2,0.85
4,3,0.9
4,4,0.95
4,5,1
4,6,1
4,7,0.9
5,1,0.8
5,2,0.85
5,3,0.9
5,4,0.95
5,5,1
5,6,1
5,7,0.9
6,1,0.8
6,2,0.85
6,3,0.9
6,4,0.95
6,5,1
6,6,1
6,7,0.9
7,1,0.8
7,2,0.85
7,3,0.9
7,4,0.95
7,5,1
7,6,1
7,7,0.9
8,1,0.9
8,2,0.95
8,3,1
8,4,1
8,5,1
8,6,1
8,7,0.95
9,1,0.8
9,2,0.85
9,3,0.9
9,4,0.95
9,5,1
9,6,1
9,7,0.9
10,1,0.85
10,2,0.9
10,3,0.95
10,4,1
10,5,1
10,6,1
10,7,0.9
11,1,0.8
11,2,0.85
11,3,0.9
11,4,0.95
11,5,1
11,6,0.95
11,7,0.9
12,1,0.75
12,2,0.8
12,3,0.85
12,4,0.9
12,5,1
12,6,1
12,7,1
13,1,0.75
13,2,0.8
13,3,0.85
13,4,0.9
13,5,1
13,6,1
13,7,1
14,1,0.75
14,2,0.8
14,3,0.85
14,4,0.9
14,5,1
14,6,1
14,7,1
15,1,0.75
15,2,0.8
15,3,0.85
15,4,0.9
15,5,1
15,6,1
15,7,1
16,1,0.85
16,2,0.9
16,3,0.95
16,4,0.95
16,5,1
16,6,1
16,7,0.95
17,1,0.75
17,2,0.8
17,3,0.85
17,4,0.9
17,5,1
17,6,1.05
17,7,1
18,1,0.75
18,2,0.8
18,3,0.85
18,4,0.9
18,5,1
18,6,1
18,7,1
19,1,0.75
19,2,0.8
19,3,0.85
19,4,0.9
19,5,1
19,6,0.95
19,7,0.95
20,1,0.75
20,2,0.8
20,3,0.85
20,4,0.9
20,5,1
20,6,1
20,7,1
21,1,0.75
21,2,0.8
21,3,0.85
21,4,0.9
21,5,1
21,6,1
21,7,0.95
22,1,0.75
22,2,0.8
22,3,0.9
22,4,0.95
22,5,1
22,6,1.05
22,7,1
23,1,0.75
23,2,0.8
23,3,0.85
23,4,0.9
23,5,1
23,6,0.95
23,7,0.9
24,1,0.8
24,2,0.85
24,3,0.9
24,4,0.95
24,5,1
24,6,1
24,7,0.9
25,1,0.75
25,2,0.8
25,3,0.85
25,4,0.9
25,5,1
25,6,0.95
25,7,0.95
