0,2,1
0,3,1
0,4,1
0,5,1
0,6,1
0,7,1
0,8,1
1,2,1.05
1,3,1.05
1,4,0.95
1,5,0.9
1,6,0.9
1,7,0.85
1,8,0.9
2,2,0.95
2,3,1
2,4,1.1
2,5,0.9
2,6,0.95
2,7,0.95
2,8,1.2
3,2,1.05
3,3,1
3,4,0.95
3,5,1.15
3,6,0.95
3,7,0.9
3,8,0.9
4,2,1
4,3,1
4,4,1
4,5,0.9
4,6,0.95
4,7,0.85
4,8,0.95
5,2,1
5,3,1
5,4,0.95
5,5,0.9
5,6,0.9
5,7,0.85
5,8,0.85
11,2,0.95
11,3,0.95
11,4,1
11,5,1.1
11,6,0.95
11,7,0.85
11,8,0.9
12,2,1
12,3,1
12,4,0.9
12,5,0.85
12,6,0.8
12,7,0.8
12,8,0.85
13,2,1.05
13,3,1.1
13,4,1
13,5,0.95
13,6,0.9
13,7,0.85
13,8,0.9
14,2,1
14,3,1.2
14,4,1
14,5,0.8
14,6,0.9
14,7,0.8
14,8,0.8
15,2,1
15,3,1.05
15,4,1
15,5,0.9
15,6,0.9
15,7,0.85
15,8,0.9
16,2,1.05
16,3,1
16,4,1
16,5,0.9
16,6,0.9
16,7,0.85
16,8,0.9
17,2,1
17,3,1.1
17,4,0.95
17,5,0.85
17,6,1
17,7,0.8
17,8,0.9
18,2,1.1
18,3,1.05
18,4,0.95
18,5,0.9
18,6,0.95
18,7,0.85
18,8,0.8
19,2,1.05
19,3,1
19,4,1
19,5,0.85
19,6,1
19,7,0.8
19,8,0.85
20,2,1
20,3,1
20,4,1.1
20,5,0.95
20,6,0.95
20,7,0.95
20,8,1
